word,part,n_senses,colour,colour_mismatch,stopword,freq_in_defs,n_reduplicated,definition,graphemes,graphemes_rev,graphemes_n,start,end,words_in_def,word_length,def_sj,def_k,def_e,def_i,def_a,def_hh,def_bu,def_p,def_q,def_cj,def_r,def_y,freq_group,colour_hex
fbeprs,i.,1,blue,0,0,1,0,i. gazter z gega ee aiguux oraux ji. qahh gega ee aiguux ji pu. hut pdepr gega yk ji. btebr aiguux ji. tae aiguux gega shlp. hut btebr pdepr shlp.,f be p r s,s r p be f,5,f,s,29,6,,,,gazter z gega ee aiguux oraux ji. qahh gega ee aiguux ji pu. hut pdepr gega yk ji. btebr aiguux ji. tae aiguux gega shlp. hut btebr pdepr shlp.,,,,,,,,,0-1,#6495ED
fchht,i.,1,blue,0,0,0,0,i. cxhht bpu. liuzu z gudih baali bki. cxhht axdacj ee liuzu z gudih bki. lpupl cxhht l bebak z lela bki.,f ch h t,t h ch f,4,f,t,21,5,,,,cxhht bpu. liuzu z gudih baali bki. cxhht axdacj ee liuzu z gudih bki. lpupl cxhht l bebak z lela bki.,,,,,,,,,0-1,#6495ED
fchhtl,i.,1,blue,0,0,0,0,i. cxhht lela bki lpu.,f ch h t l,l t h ch f,5,f,l,4,6,,,,cxhht lela bki lpu.,,,,,,,,,0-1,#6495ED
fcjpul,i.,1,blue,0,0,0,0,i. cjdahh du lela ji. ash ahk puel alpp lpubul aka.,f cj pu l,l pu cj f,4,f,l,10,6,,,,cjdahh du lela ji. ash ahk puel alpp lpubul aka.,,,,,,,,,0-1,#6495ED
fcxht,i.,1,blue,0,0,0,0,i. ahk juya axhk. yre lela yra juya hji. dyt f cxhht ee dvt f cxhht dsiu.,f cx h t,t h cx f,4,f,t,16,5,,,,ahk juya axhk. yre lela yra juya hji. dyt f cxhht ee dvt f cxhht dsiu.,,,,,,,,,0-1,#6495ED
fcxinl,i.,1,blue,0,0,1,0,i. laf in daf kauin ging cxs lpu. vk cji dupi hba vzt hkdg el lela l xkaka kyso. kauin yra kytu el lela kyso bteb am olla kauin kytu f gegagu cji hji.,f cx in l,l in cx f,4,f,l,33,6,,,,laf in daf kauin ging cxs lpu. vk cji dupi hba vzt hkdg el lela l xkaka kyso. kauin yra kytu el lela kyso bteb am olla kauin kytu f gegagu cji hji.,,,,,,,,,0-1,#6495ED
fdahra,i.,1,blue,0,0,0,0,i. l wux bpu. ja ee je uxi beba f sjlup pu. dahpu yra ji pu. dast ja ee je taga o dahpu jef hkdg am wuh ja ee je ji. dest lef taga o dahpu dkdg am wux ehu ja ee je kap uxi kadu. l wux l gatira keka.,f da h ra,ra h da f,4,f,ra,50,6,,,,l wux bpu. ja ee je uxi beba f sjlup pu. dahpu yra ji pu. dast ja ee je taga o dahpu jef hkdg am wuh ja ee je ji. dest lef taga o dahpu dkdg am wux ehu ja ee je kap uxi kadu. l wux l gatira keka.,,,,,,,,,0-1,#6495ED
fdylb,i.,1,blue,0,0,0,0,i. palb tkr aozh l alb dyt. alp l uku ji dr l alb hji. alp yra ahk lela akydep vx yra dr l alb ji.,f d y l b,b l y d f,5,f,b,25,5,,,,palb tkr aozh l alb dyt. alp l uku ji dr l alb hji. alp yra ahk lela akydep vx yra dr l alb ji.,,,,,,,,,0-1,#6495ED
fgah,k.,1,purple,0,0,8,0,k. vh qah qahh kytu.,f ga h,h ga f,3,f,h,4,4,,vh qah qahh kytu.,,,,,,,,,,,>1,#9370DB
fgauqr,i.,1,blue,0,0,0,0,i. law l airli ji. dku zkehu ehu lela vda. aokasx jeqr duta. chla z vlzu l airli ji.,f ga u qr,qr u ga f,4,f,qr,18,6,,,,law l airli ji. dku zkehu ehu lela vda. aokasx jeqr duta. chla z vlzu l airli ji.,,,,,,,,,0-1,#6495ED
fgaux,i.,1,blue,0,0,0,0,i. dku jeqr hhk lela duta. law thg lela vx cji gudde. yamte lela kyin aozh ewer hhk lela dkdg.,f ga ux,ux ga f,3,f,ux,19,5,,,,dku jeqr hhk lela duta. law thg lela vx cji gudde. yamte lela kyin aozh ewer hhk lela dkdg.,,,,,,,,,0-1,#6495ED
fgetair,i.,1,blue,0,0,0,0,i. ysi aiguux l tair dkdg. taar ji kat yra yamte kyin o kat taber yra ji. vk siuaa gega xhg ysi aiguux ji kat kauin yl ysi vx yl yre kyin. yamte l tair hhg.,f ge ta i r,r i ta ge f,5,f,r,35,7,,,,ysi aiguux l tair dkdg. taar ji kat yra yamte kyin o kat taber yra ji. vk siuaa gega xhg ysi aiguux ji kat kauin yl ysi vx yl yre kyin. yamte l tair hhg.,,,,,,,,,0-1,#6495ED
fgiahh,i.,1,blue,0,0,0,0,i. vk qahh f l asj l asj z qahh hji. gaint vk qahh f l asj ji. vx fasjh tta guo l asj z qahh ji. giduh z ginger vt qahh f l asj bki. l akydep giduh z ginger hkdg.,f g i a hh,hh a i g f,5,f,hh,41,6,,,,vk qahh f l asj l asj z qahh hji. gaint vk qahh f l asj ji. vx fasjh tta guo l asj z qahh ji. giduh z ginger vt qahh f l asj bki. l akydep giduh z ginger hkdg.,,,,,,,,,0-1,#6495ED
fginly,i.,1,blue,0,0,0,0,i. xzt tair fbeprs ji o je ja shlp. ley guo z ja ji aa ley guo z je ji. xsiga l amx ee xgin hji. ykai z yre lela xyt. olla ykai z ginger yras ji.,f g in l y,y l in g f,5,f,y,36,6,,,,xzt tair fbeprs ji o je ja shlp. ley guo z ja ji aa ley guo z je ji. xsiga l amx ee xgin hji. ykai z yre lela xyt. olla ykai z ginger yras ji.,,,,,,,,,0-1,#6495ED
fgubea,i.,1,blue,0,0,0,0,i. beba z cji je kap yk ji. dust du kaw dku yra je cht o guo z je beba z yra kadu.,f gu be a,a be gu f,4,f,a,22,6,,,,beba z cji je kap yk ji. dust du kaw dku yra je cht o guo z je beba z yra kadu.,,,,,,,,,0-1,#6495ED
fhdut,i.,1,blue,0,0,0,0,i. uiah ahk yk yre lela rake. yra lela shg yras lela rek el jel kap daiu. yra lela livai shg yk yre lela rak el jel daiu. yra lela livai yra lela ji. xytu jel ji.,f h du t,t du h f,4,f,t,36,5,,,,uiah ahk yk yre lela rake. yra lela shg yras lela rek el jel kap daiu. yra lela livai shg yk yre lela rak el jel daiu. yra lela livai yra lela ji. xytu jel ji.,,,,,,,,,0-1,#6495ED
fhmxqa,i.,1,blue,0,0,0,0,i. ladut hmbaao hji el lela ishl. sxqa shg hmbaao ji. am l sxqa bpu. vk ket qrexzt l sxqa kyin lpu. dher sxqa ja ji. kka sxqa ja je rik f cxhht ji. hut sxqa xihuhesh z qahh ee ja ji. kka hmbaao yra buk ji.,f hm x qa,qa x hm f,4,f,qa,46,6,,,,ladut hmbaao hji el lela ishl. sxqa shg hmbaao ji. am l sxqa bpu. vk ket qrexzt l sxqa kyin lpu. dher sxqa ja ji. kka sxqa ja je rik f cxhht ji. hut sxqa xihuhesh z qahh ee ja ji. kka hmbaao yra buk ji.,,,,,,,,,0-1,#6495ED
fhuer,i.,1,blue,0,0,0,0,i. qahh juya kyin f cxhht ja zju kyin f cxhht olla ji.,f hu er,er hu f,3,f,er,12,5,,,,qahh juya kyin f cxhht ja zju kyin f cxhht olla ji.,,,,,,,,,0-1,#6495ED
fiara,i.,1,blue,0,0,0,0,i. rali dku liaax ji. uku liaax utu lela kap asx lpupl ykai z cji yk asx. jel kysi kat kakauka liaax dkdg f yras lela f liex kap ubva cji ket.,f i a ra,ra a i f,4,f,ra,31,5,,,,rali dku liaax ji. uku liaax utu lela kap asx lpupl ykai z cji yk asx. jel kysi kat kakauka liaax dkdg f yras lela f liex kap ubva cji ket.,,,,,,,,,0-1,#6495ED
fiaxx,i.,1,blue,0,0,0,0,i. kauin aie ji. kat kauin yra ji el yamte bteb.,f i ax x,x ax i f,4,f,x,10,5,,,,kauin aie ji. kat kauin yra ji el yamte bteb.,,,,,,,,,0-1,#6495ED
filqag,i.,1,blue,0,0,0,0,i. yamte kakauka beba iligt ee ging ee qahh hji. juya riju ging dsiu. qahh chlie ging dsiu. juya iligt dsiu.,f i l qa g,g qa l i f,5,f,g,20,6,,,,yamte kakauka beba iligt ee ging ee qahh hji. juya riju ging dsiu. qahh chlie ging dsiu. juya iligt dsiu.,,,,,,,,,0-1,#6495ED
fippx,i.,1,blue,0,0,0,0,i. kat xhjr lela hztl o xamt guo lela xztl. kka ralio guo lela asx. vh ju ler sxuk axuax rali guo ji. teer belu lela kyin lpupl hba taar uku lela hji el vs cji byta.,f i pp x,x pp i f,4,f,x,36,5,,,,kat xhjr lela hztl o xamt guo lela xztl. kka ralio guo lela asx. vh ju ler sxuk axuax rali guo ji. teer belu lela kyin lpupl hba taar uku lela hji el vs cji byta.,,,,,,,,,0-1,#6495ED
fjah,k.,1,purple,0,0,3,0,k. vh qah juya kytu.,f ja h,h ja f,3,f,h,4,4,,vh qah juya kytu.,,,,,,,,,,,>1,#9370DB
fjebry,i.,1,blue,0,0,0,0,i. l beak z dku lela ska vs siuaa lucx. dew je kap kaoee am cji shg je brye. taar ehg yra ktap kytu.,f je b r y,y r b je f,5,f,y,23,6,,,,l beak z dku lela ska vs siuaa lucx. dew je kap kaoee am cji shg je brye. taar ehg yra ktap kytu.,,,,,,,,,0-1,#6495ED
fkagata,i.,1,blue,0,0,0,0,i. vh yra ktap akagata hhg. jar je brye. dku xhge deda xhg yra ktap dkdg.,f ka ga ta,ta ga ka f,4,f,ta,15,7,,,,vh yra ktap akagata hhg. jar je brye. dku xhge deda xhg yra ktap dkdg.,,,,,,,,,0-1,#6495ED
fkaiga,i.,1,blue,0,0,0,0,i. sxi uxaux kata el gaint ahk. inlt l bebak z gtin kytu el ahk sxi uxaux iligt dkdg.,f ka i ga,ga i ka f,4,f,ga,18,6,,,,sxi uxaux kata el gaint ahk. inlt l bebak z gtin kytu el ahk sxi uxaux iligt dkdg.,,,,,,,,,0-1,#6495ED
fkatali,sj.,1,blue,0,0,0,0,sj. ehg eja ee aje taga.,f ka ta li,li ta ka f,4,f,li,5,7,ehg eja ee aje taga.,,,,,,,,,,,,0-1,#6495ED
fkaxx,sj.,1,blue,0,0,0,0,sj. siuaa geder z uzuini ee yra z je hji. siuaa yras ji el suba je ishl. fuxa yra ji xlio.,f ka x x,x x ka f,4,f,x,20,5,siuaa geder z uzuini ee yra z je hji. siuaa yras ji el suba je ishl. fuxa yra ji xlio.,,,,,,,,,,,,0-1,#6495ED
fkeing,i.,1,blue,0,0,0,0,i. hgaxi el ging beax f gega hkdg. lela keka el hgaxi z ging ji. axuaxf ging inlt ska am qlat tuk aa dyt.,f ke in g,g in ke f,4,f,g,23,6,,,,hgaxi el ging beax f gega hkdg. lela keka el hgaxi z ging ji. axuaxf ging inlt ska am qlat tuk aa dyt.,,,,,,,,,0-1,#6495ED
fktap,i.,1,blue,0,0,0,0,i. qahh ee juya ee idcx o aka ee puel ee l ppicj yra ktap kedu. ja bpu ee ja lpu ee ja gpu kedu.,f k ta p,p ta k f,4,f,p,24,5,,,,qahh ee juya ee idcx o aka ee puel ee l ppicj yra ktap kedu. ja bpu ee ja lpu ee ja gpu kedu.,,,,,,,,,0-1,#6495ED
flach,i.,1,blue,0,0,0,0,i. subtat ahk aish kytu. kat vt qvq pdep ji. vt qwq qvq ji. vt btebr qwq ji. kka vt btebr pdep ji.,f la ch,ch la f,3,f,ch,22,5,,,,subtat ahk aish kytu. kat vt qvq pdep ji. vt qwq qvq ji. vt btebr qwq ji. kka vt btebr pdep ji.,,,,,,,,,0-1,#6495ED
flagin,i.,1,blue,0,0,0,0,i. lagat ginger iji. lagat el ginger dkdg f uku qahh ji. ginger dkdg f uku qahh ginger ji. dkder z ginger uku qahh ji. lagat ginger ji.,f la g in,in g la f,4,f,in,27,6,,,,lagat ginger iji. lagat el ginger dkdg f uku qahh ji. ginger dkdg f uku qahh ginger ji. dkder z ginger uku qahh ji. lagat ginger ji.,,,,,,,,,0-1,#6495ED
flara,i.,1,blue,0,0,0,0,i. taar aa oley aie ji. kat jef pip asj.,f la ra,ra la f,3,f,ra,9,5,,,,taar aa oley aie ji. kat jef pip asj.,,,,,,,,,0-1,#6495ED
flash,i.,1,blue,0,0,0,0,i. guerg aie kysi. guo ehu aie kap kyin am qahh aie kyin. lukad qahh yra ji.,f la sh,sh la f,3,f,sh,16,5,,,,guerg aie kysi. guo ehu aie kap kyin am qahh aie kyin. lukad qahh yra ji.,,,,,,,,,0-1,#6495ED
flatgu,i.,1,blue,0,0,0,0,i. teer ejk lada ji. yras kap shtu. rali guo uku yras dkdg. am dust jel o guo guo kap lisu. kat guo livi bki. vst livi gege guo yk ji.,f la t gu,gu t la f,4,f,gu,30,6,,,,teer ejk lada ji. yras kap shtu. rali guo uku yras dkdg. am dust jel o guo guo kap lisu. kat guo livi bki. vst livi gege guo yk ji.,,,,,,,,,0-1,#6495ED
flecxr,i.,1,blue,0,0,0,0,i. ysi ler l cxs dkdg. l invh ee l inxh. vs hgaxi ysi ler l cxs dkdg. akerux ee akcxa. l kax yras cxla ji.,f le cx r,r cx le f,4,f,r,25,6,,,,ysi ler l cxs dkdg. l invh ee l inxh. vs hgaxi ysi ler l cxs dkdg. akerux ee akcxa. l kax yras cxla ji.,,,,,,,,,0-1,#6495ED
fligt,i.,1,blue,0,0,0,0,i. qlad exiex iligt ji. uxaux pul ahk exiex iligt tkr. wao etela chtu el yras ahk. iligt ginger ahg.,f li g t,t g li f,4,f,t,19,5,,,,qlad exiex iligt ji. uxaux pul ahk exiex iligt tkr. wao etela chtu el yras ahk. iligt ginger ahg.,,,,,,,,,0-1,#6495ED
flihed,i.,1,blue,0,0,0,0,i. ging zhlut ji. ging qvq ji. luwux qwq hezte qvq ji. akudep z vk xihuhesh luwux qwq ji. ging akudep ji. kka ging zhlut ji.,f li he d,d he li f,4,f,d,25,6,,,,ging zhlut ji. ging qvq ji. luwux qwq hezte qvq ji. akudep z vk xihuhesh luwux qwq ji. ging akudep ji. kka ging zhlut ji.,,,,,,,,,0-1,#6495ED
flihh,i.,1,blue,0,0,0,0,i. zucjch bzui z yra beba el yrs lela ishl. subt fgah aozh xhjr fgah.,f li hh,hh li f,3,f,hh,14,5,,,,zucjch bzui z yra beba el yrs lela ishl. subt fgah aozh xhjr fgah.,,,,,,,,,0-1,#6495ED
flisgin,i.,1,blue,0,0,0,0,i. tair lela uku ginger ji. l bebak z yras yras dkdg lpubul yras asj f lela. guo z yras yras dkdg aa guo z yras yras klu. uku ginger shtu. ging ginger ubva o ging ginger lisu.,f li s g in,in g s li f,5,f,in,37,7,,,,tair lela uku ginger ji. l bebak z yras yras dkdg lpubul yras asj f lela. guo z yras yras dkdg aa guo z yras yras klu. uku ginger shtu. ging ginger ubva o ging ginger lisu.,,,,,,,,,0-1,#6495ED
fpicj,i.,1,blue,0,0,0,0,i. ezugad l ppicj ji. vk jar hjter je kyin. kjar ee zbug el jel tehu. l iblug je belu. je vk uku chdut vt uku ladut yrs lela tla el je bezu.,f p i cj,cj i p f,4,f,cj,32,5,,,,ezugad l ppicj ji. vk jar hjter je kyin. kjar ee zbug el jel tehu. l iblug je belu. je vk uku chdut vt uku ladut yrs lela tla el je bezu.,,,,,,,,,0-1,#6495ED
fpligt,i.,1,blue,0,0,0,0,i. vx ktap z je je blit axuax iligt ahk je rak. kat yras axuax lela lqa. kat yras belu axuax lela blit. vk utu lela ezugad yras ktap hji.,f p li g t,t g li p f,5,f,t,29,6,,,,vx ktap z je je blit axuax iligt ahk je rak. kat yras axuax lela lqa. kat yras belu axuax lela blit. vk utu lela ezugad yras ktap hji.,,,,,,,,,0-1,#6495ED
fqalel,i.,1,blue,0,0,0,0,i. qahh lela iji. uxaux lela ginger ji. qahh ee juya f l shlap du lela ji. qahh lela yk hji. juya yras z lela iji. juya el qvq ji am qwq hji f yras ji.,f qa le l,l le qa f,4,f,l,35,6,,,,qahh lela iji. uxaux lela ginger ji. qahh ee juya f l shlap du lela ji. qahh lela yk hji. juya yras z lela iji. juya el qvq ji am qwq hji f yras ji.,,,,,,,,,0-1,#6495ED
frebl,i.,1,blue,0,0,1,0,i. je kauin ging cxs lpu. lpupl btebr yra cxs lpu. ladut ee l sxqa btebr bteb. vs ladut ee l sxqa juya guerg rah. l kaish kauin ging kytu. subtat yra kytu.,f re b l,l b re f,4,f,l,32,5,,,,je kauin ging cxs lpu. lpupl btebr yra cxs lpu. ladut ee l sxqa btebr bteb. vs ladut ee l sxqa juya guerg rah. l kaish kauin ging kytu. subtat yra kytu.,,,,,,,,,0-1,#6495ED
frra,i.,1,blue,0,0,1,0,i. guo du lela dkdg. elau xihuhesh aie ee guo dkdg. hut teer guo teer aie hhg. am wzu cxhht z ash guo kadu. ja ji apu dyt el lela gerra kyso.,f r ra,ra r f,3,f,ra,31,4,,,,guo du lela dkdg. elau xihuhesh aie ee guo dkdg. hut teer guo teer aie hhg. am wzu cxhht z ash guo kadu. ja ji apu dyt el lela gerra kyso.,,,,,,,,,0-1,#6495ED
frycx,i.,1,blue,0,0,1,0,i. yamte ler gerysh bcx. yl yre kat gezin o etu l uku el lela vztu. yl ysi yra ji apu el yra tky lpupl vs ginger ee giduh yra f xihuhesh ji bpu el yra tky. yl yamte ginger ee giduh kytu in chtu lpu belu el yra tky.,f r y cx,cx y r f,4,f,cx,49,5,,,,yamte ler gerysh bcx. yl yre kat gezin o etu l uku el lela vztu. yl ysi yra ji apu el yra tky lpupl vs ginger ee giduh yra f xihuhesh ji bpu el yra tky. yl yamte ginger ee giduh kytu in chtu lpu belu el yra tky.,,,,,,,,,0-1,#6495ED
fsa,e.,1,green,0,0,1,0,e. vs ju yra hhk yra uxi beba.,f s a,a s f,3,f,a,7,3,,,vs ju yra hhk yra uxi beba.,,,,,,,,,,0-1,#228B22
fsgin,i.,1,blue,0,0,0,0,i. vt spu ging ji el ginger kap lqa. am l thg ging ji. sxi uxaux ging ahk ginger vda kat xigin.,f s g in,in g s f,4,f,in,21,5,,,,vt spu ging ji el ginger kap lqa. am l thg ging ji. sxi uxaux ging ahk ginger vda kat xigin.,,,,,,,,,0-1,#6495ED
fsiaih,i.,1,blue,0,0,0,0,i. l wux qahh keka pu. xzt l wux l gatira keka o l wux vk qahh f l brye keka. ahk qahh kytu bpu. sxi taar kyin el gudih ahk qahh kyso pu. law z zucjch el sxi taar gudih kyin ji pu. sxi taar gudih ja ji pu. sxi taar gudih kyin el ja je aok ji.,f si ai h,h ai si f,4,f,h,58,6,,,,l wux qahh keka pu. xzt l wux l gatira keka o l wux vk qahh f l brye keka. ahk qahh kytu bpu. sxi taar kyin el gudih ahk qahh kyso pu. law z zucjch el sxi taar gudih kyin ji pu. sxi taar gudih ja ji pu. sxi taar gudih kyin el ja je aok ji.,,,,,,,,,0-1,#6495ED
fsjipu,i.,1,blue,0,0,0,0,i. uxipu sjip ji. wax z utu lela yra kadu. sjip z cji ahk tta lela klu. sage sjip z uku lela ji.,f sj i pu,pu i sj f,4,f,pu,22,6,,,,uxipu sjip ji. wax z utu lela yra kadu. sjip z cji ahk tta lela klu. sage sjip z uku lela ji.,,,,,,,,,0-1,#6495ED
fszinl,i.,1,blue,0,0,1,0,i. dest zint o kauin ging beba spu. sxresh l zint ji. lela dyt el dew ahk yra sxresh ew. xzt jel o sxi uxauxf zine ehg axuaxf ging dkdg. xzt kauin ging hhk dyt o vh subtate vk ysi zint el yra chsiv.,f s z in l,l in z s f,5,f,l,43,6,,,,dest zint o kauin ging beba spu. sxresh l zint ji. lela dyt el dew ahk yra sxresh ew. xzt jel o sxi uxauxf zine ehg axuaxf ging dkdg. xzt kauin ging hhk dyt o vh subtate vk ysi zint el yra chsiv.,,,,,,,,,0-1,#6495ED
ftage,i.,1,blue,0,0,0,0,i. tair yk ju lela du lela taga. lef ahk lela asj am yk ju lela ahk taga. kat l pip asj l taga ahg.,f ta ge,ge ta f,3,f,ge,24,5,,,,tair yk ju lela du lela taga. lef ahk lela asj am yk ju lela ahk taga. kat l pip asj l taga ahg.,,,,,,,,,0-1,#6495ED
ftazra,i.,1,blue,0,0,0,0,i. lava gta shg yre lela yk dkdg aa vh begai yra yk jajije.,f ta z ra,ra z ta f,4,f,ra,13,6,,,,lava gta shg yre lela yk dkdg aa vh begai yra yk jajije.,,,,,,,,,0-1,#6495ED
ftqal,i.,1,blue,0,0,0,0,i. kakauka cxtqal ji vx je in ju lela. kat kakauka ja ji vx je in ju lela.,f t qa l,l qa t f,4,f,l,17,5,,,,kakauka cxtqal ji vx je in ju lela. kat kakauka ja ji vx je in ju lela.,,,,,,,,,0-1,#6495ED
fturaq,i.,1,blue,0,0,0,0,i. kakauka jaraq kakauka axdacj dkdg. am siuai taber el yrs jaraq kaoee. siuaa axuax yra iji vh yrs l siuai.,f tu ra q,q ra tu f,4,f,q,20,6,,,,kakauka jaraq kakauka axdacj dkdg. am siuai taber el yrs jaraq kaoee. siuaa axuax yra iji vh yrs l siuai.,,,,,,,,,0-1,#6495ED
fubin,i.,1,blue,0,0,0,0,i. kauin ging bpu. kauin ging ehu xhmt ging hji. hmt ehu kauin ging ji. yer hutl ahg je bteb. fyuinl ee fcxinl ee frebl ee fszinl.,f u b in,in b u f,4,f,in,26,5,,,,kauin ging bpu. kauin ging ehu xhmt ging hji. hmt ehu kauin ging ji. yer hutl ahg je bteb. fyuinl ee fcxinl ee frebl ee fszinl.,,,,,,,,,0-1,#6495ED
fuerih,i.,1,blue,0,0,0,0,i. sxi taar gudih kyin kyso gpu. xzt beba leda ji aa ginger yras rik o gudih gudih z leda ji el ginger ishl pu. xzt tae o suerr gudih ji.,f u er i h,h i er u f,5,f,h,30,6,,,,sxi taar gudih kyin kyso gpu. xzt beba leda ji aa ginger yras rik o gudih gudih z leda ji el ginger ishl pu. xzt tae o suerr gudih ji.,,,,,,,,,0-1,#6495ED
fukadcx,i.,1,blue,0,0,0,0,i. rali hucher lela asx. sxi rali el rali hucher ahk l kakauka kyso. sxi cxzl el cxzl hucher ahk l kakauka kyso.,f u ka d cx,cx d ka u f,5,f,cx,22,7,,,,rali hucher lela asx. sxi rali el rali hucher ahk l kakauka kyso. sxi cxzl el cxzl hucher ahk l kakauka kyso.,,,,,,,,,0-1,#6495ED
fupul,i.,1,blue,0,0,0,0,i. dust fakpul tuk o olla lpubl puel je dkdg. dher kat puel z je o je yre lela asj. puel z ja ee puel z je f bsxju ash ji.,f u pu l,l pu u f,4,f,l,30,5,,,,dust fakpul tuk o olla lpubl puel je dkdg. dher kat puel z je o je yre lela asj. puel z ja ee puel z je f bsxju ash ji.,,,,,,,,,0-1,#6495ED
futah,i.,1,blue,0,0,0,0,i. utal qahh ji. qahh z je ahk tta lela dkdg. lavit qahh ji am juya hji. yra lela ahk juya ji vhsut lpubul ju lela ahk ju vhsut.,f u ta h,h ta u f,4,f,h,28,5,,,,utal qahh ji. qahh z je ahk tta lela dkdg. lavit qahh ji am juya hji. yra lela ahk juya ji vhsut lpubul ju lela ahk ju vhsut.,,,,,,,,,0-1,#6495ED
fuxa,e.,1,green,0,0,1,0,e. sxzu kakauka vs suba ishl yra ji kka kyin f akudep.,f ux a,a ux f,3,f,a,11,4,,,sxzu kakauka vs suba ishl yra ji kka kyin f akudep.,,,,,,,,,,0-1,#228B22
fuxder,i.,1,blue,0,0,0,0,i. etabu je ji. jel aozh hezi ee uligt je dkdg. hezi ee iligt zpu. xzt ratazu je ji o vk ja ee je ee guerg zail blit o vk gerg z je zail blit o ahk je juex. taer jel ji am qlat gudde. ratazee kyin el jel gudde f zkehu ji. yl yre dest vk ja ee je zail blit o oley gerg z je ji. yl ysi vk gerg vh taer oexin zail blit. wder je ahg.,f ux de r,r de ux f,4,f,r,79,6,,,,etabu je ji. jel aozh hezi ee uligt je dkdg. hezi ee iligt zpu. xzt ratazu je ji o vk ja ee je ee guerg zail blit o vk gerg z je zail blit o ahk je juex. taer jel ji am qlat gudde. ratazee kyin el jel gudde f zkehu ji. yl yre dest vk ja ee je zail blit o oley gerg z je ji. yl ysi vk gerg vh taer oexin zail blit. wder je ahg.,,,,,,,,,0-1,#6495ED
fuxga,i.,1,blue,0,0,0,0,i. l wux bpu. l wux ja keka pu. guo l wux xyt. ging ahk guo shlp. laf ahk guo kzin. guo z cji je dkdg o ykai z gudih guo z je ji. kka l wux bpu.,f ux ga,ga ux f,3,f,ga,37,5,,,,l wux bpu. l wux ja keka pu. guo l wux xyt. ging ahk guo shlp. laf ahk guo kzin. guo z cji je dkdg o ykai z gudih guo z je ji. kka l wux bpu.,,,,,,,,,0-1,#6495ED
fvqw,i.,1,blue,0,0,0,0,i. qvq qwq kyin lpu. yra ahk yk lela kyso kat akudep lela dkdg.,f v q w,w q v f,4,f,w,13,4,,,,qvq qwq kyin lpu. yra ahk yk lela kyso kat akudep lela dkdg.,,,,,,,,,0-1,#6495ED
fxiagin,i.,1,blue,0,0,0,0,i. xikag xigin dsiu. kat ash o kagin. kat aie o utal shlp. algin yra utal l shlp ji. ging ahk ginger kyin. l kyin z ginger gubeli ahg.,f x i a g in,in g a i x f,6,f,in,28,7,,,,xikag xigin dsiu. kat ash o kagin. kat aie o utal shlp. algin yra utal l shlp ji. ging ahk ginger kyin. l kyin z ginger gubeli ahg.,,,,,,,,,0-1,#6495ED
fyage,i.,1,blue,0,0,0,0,i. yamte ler gebr beba. gerysh ee gerra ee gezin. uxauxf hutl yras ji. frycx ee frra ee fzin sxi uxaux bteb kadu.,f y a ge,ge a y f,4,f,ge,22,5,,,,yamte ler gebr beba. gerysh ee gerra ee gezin. uxauxf hutl yras ji. frycx ee frra ee fzin sxi uxaux bteb kadu.,,,,,,,,,0-1,#6495ED
fykig,i.,1,blue,0,0,0,0,i. ahj olg hji. yra lela olg kap tky. hutl z ladut yk ahk olg pdep. lpupl yre lela ee ginger f yre xyki olg yk ji.,f y k i g,g i k y f,5,f,g,26,5,,,,ahj olg hji. yra lela olg kap tky. hutl z ladut yk ahk olg pdep. lpupl yre lela ee ginger f yre xyki olg yk ji.,,,,,,,,,0-1,#6495ED
fyuinl,i.,1,blue,0,0,1,0,i. kauin ging kyin lpu. yl yre ler lizu tta ging yra ji. vx jel lela dule. yl ysi ler uxaux zuf z ging ji am axuaxf du ging ji. vx jel lela zint. lpubal hut xkaka.,f y u in l,l in u y f,5,f,l,36,6,,,,kauin ging kyin lpu. yl yre ler lizu tta ging yra ji. vx jel lela dule. yl ysi ler uxaux zuf z ging ji am axuaxf du ging ji. vx jel lela zint. lpubal hut xkaka.,,,,,,,,,0-1,#6495ED
fzin,i.,1,blue,0,0,1,0,i. ginger ji bpu el gezin kedu. lpubul ginger eji bpu yra kedu.,f z in,in z f,3,f,in,12,4,,,,ginger ji bpu el gezin kedu. lpubul ginger eji bpu yra kedu.,,,,,,,,,0-1,#6495ED
fzuig,i.,1,blue,0,0,0,0,i. azui z evamt ypu. xzt subtet ji o gudih giduh ji. xzt subtat ji o du lela lavit beba.,f zu i g,g i zu f,4,f,g,19,5,,,,azui z evamt ypu. xzt subtet ji o gudih giduh ji. xzt subtat ji o du lela lavit beba.,,,,,,,,,0-1,#6495ED
gaeif,sj.,1,blue,0,0,7,0,sj. btebr bteb f heze.,ga ei f,f ei ga,3,ga,f,4,5,btebr bteb f heze.,,,,,,,,,,,,>1,#6495ED
gaga,sj.,1,blue,0,0,1,0,sj. yre ler xihuhesh z gzugit in gudih in l bebak ahk bteb f yre gege.,ga ga,ga ga,2,ga,ga,15,4,yre ler xihuhesh z gzugit in gudih in l bebak ahk bteb f yre gege.,,,,,,,,,,,,0-1,#6495ED
gaing,sj.,1,blue,0,0,1,0,sj. kxat f ging.,ga in g,g in ga,3,ga,g,3,5,kxat f ging.,,,,,,,,,,,,0-1,#6495ED
