word,word_trans,part,part_trans,n_senses,colour,colour_trans,colour_mismatch,stopword,freq_in_defs,n_reduplicated,definition,chars_untranslated,translated,graphemes,graphemes_rev,graphemes_n,start,end,words_in_def,word_length,def_sj,def_k,def_e,def_i,def_a,def_hh,def_bu,def_p,def_q,def_cj,def_r,def_y,freq_group,colour_hex,eng_def_sj,eng_def_k,eng_def_e,eng_def_i,eng_def_a,eng_def_hh,eng_def_bu,eng_def_p,eng_def_q,eng_def_cj,eng_def_r,eng_def_y
dabi,,k.,,1,purple,verb/adverb/article,0,0,1,0,k. kap vzte in vztel ju yra ji el yra kyso.,16,k. (not) vzte (or) vztel (add/mix) (that) (is) el (that) kyso.,da b i,i b da,3,da,i,10,4,,kap vzte in vztel ju yra ji el yra kyso.,,,,,,,,,,,0-1,#9370DB,,(not) vzte (or) vztel (add/mix) (that) (is) el (that) kyso.,,,,,,,,,,
dabu,,k.,,1,purple,verb/adverb/article,0,0,3,0,k. kap vztel sjlup yra kabu.,10,k. (not) vztel (place/direction/area) (that) kabu.,da bu,bu da,2,da,bu,5,4,,kap vztel sjlup yra kabu.,,,,,,,,,,,>1,#9370DB,,(not) vztel (place/direction/area) (that) kabu.,,,,,,,,,,
dadali,,sj.,,1,blue,NOUN,0,0,1,0,sj. je ehu ja asj.,8,sj. (you) ehu (me) asj.,da da li,li da da,3,da,li,4,6,je ehu ja asj.,,,,,,,,,,,,0-1,#6495ED,(you) ehu (me) asj.,,,,,,,,,,,
daeif,,sj.,,1,blue,NOUN,0,0,1,0,sj. yra ahk kytu f gaeif.,15,sj. (that) ahk kytu f gaeif.,da ei f,f ei da,3,da,f,5,5,yra ahk kytu f gaeif.,,,,,,,,,,,,0-1,#6495ED,(that) ahk kytu f gaeif.,,,,,,,,,,,
daf,,sj.,,1,blue,NOUN,0,0,2,0,sj. ju deda.,6,sj. (add/mix) deda.,da f,f da,2,da,f,2,3,ju deda.,,,,,,,,,,,,>1,#6495ED,(add/mix) deda.,,,,,,,,,,,
dahpu,,sj.,,1,blue,NOUN,0,0,3,0,sj. subtate sjlup. gta ee guerg kadu.,14,sj. (after) (place/direction/area). gta (AND) guerg kadu.,da h pu,pu h da,3,da,pu,6,5,subtate sjlup. gta ee guerg kadu.,,,,,,,,,,,,>1,#6495ED,(after) (place/direction/area). gta (AND) guerg kadu.,,,,,,,,,,,
dahsx,,e.,,1,green,adjective/determiner,0,0,0,0,e. ja belu je shlp.,9,e. (me) belu (you) shlp.,da h sx,sx h da,3,da,sx,4,5,,,ja belu je shlp.,,,,,,,,,,0-1,#228B22,,,(me) belu (you) shlp.,,,,,,,,,
daidu,,sj.,,1,blue,NOUN,0,0,0,0,sj. taer ahk gudih kyin f qwq.,22,sj. taer ahk gudih kyin f qwq.,da i du,du i da,3,da,du,6,5,taer ahk gudih kyin f qwq.,,,,,,,,,,,,0-1,#6495ED,taer ahk gudih kyin f qwq.,,,,,,,,,,,
daiei,,sj.,,1,blue,NOUN,0,0,2,0,sj. l ahg z yras ahk l ppicj z yras lire f yras lela. etela dsiu.,43,sj. l ahg z yras ahk l ppicj z yras lire f yras (time). etela dsiu.,da i ei,ei i da,3,da,ei,15,5,l ahg z yras ahk l ppicj z yras lire f yras lela. etela dsiu.,,,,,,,,,,,,>1,#6495ED,l ahg z yras ahk l ppicj z yras lire f yras (time). etela dsiu.,,,,,,,,,,,
daita,,e.,,1,green,adjective/determiner,0,0,0,0,e. gapuita dkdg.,12,e. gapuita dkdg.,da i ta,ta i da,3,da,ta,2,5,,,gapuita dkdg.,,,,,,,,,,0-1,#228B22,,,gapuita dkdg.,,,,,,,,,
daiu,,k.,,1,purple,verb/adverb/article,0,0,3,0,k. yra qatub ji.,6,k. (that) qatub (is).,da i u,u i da,3,da,u,3,4,,yra qatub ji.,,,,,,,,,,,>1,#9370DB,,(that) qatub (is).,,,,,,,,,,
dalei,,sj.,,1,blue,NOUN,0,0,0,0,sj. ja xyt f lela.,6,sj. (me) xyt f (time).,da le i,i le da,3,da,i,4,5,ja xyt f lela.,,,,,,,,,,,,0-1,#6495ED,(me) xyt f (time).,,,,,,,,,,,
dast,,bu.,,1,tan,conjunction,0,0,4,0,bu. sxresh kyv f vh subtate vzt deqhm.,15,bu. sxresh kyv f (at) (after) vzt (WORD).,da s t,t s da,3,da,t,7,4,,,,,,,sxresh kyv f vh subtate vzt deqhm.,,,,,,>1,#D2B48C,,,,,,,sxresh kyv f (at) (after) vzt (WORD).,,,,,
deaw,,a.,,1,green,adjective/determiner,0,0,2,0,a. vh subtate deqa kaw.,8,a. (at) (after) deqa kaw.,de a w,w a de,3,de,w,4,4,,,,,vh subtate deqa kaw.,,,,,,,,>1,#228B22,,,,,(at) (after) deqa kaw.,,,,,,,
deda,,sj.,,1,blue,NOUN,0,0,36,0,sj. lela hji f hucher.,3,sj. (time) (isn't) f (something/anything).,de da,da de,2,de,da,4,4,lela hji f hucher.,,,,,,,,,,,,>20,#6495ED,(time) (isn't) f (something/anything).,,,,,,,,,,,
def,,cj.,,1,orange,pronoun/number/base,0,1,4,0,cj. ysi in exiex deda beax.,15,cj. (TWO) (or) exiex deda beax.,de f,f de,2,de,f,5,3,,,,,,,,,,ysi in exiex deda beax.,,,>1,#FFA500,,,,,,,,,,(TWO) (or) exiex deda beax.,,
degulu,,sj.,,1,blue,NOUN,0,0,0,0,sj. tair zlut ji el ysi tky f kyv.,19,sj. tair zlut (is) el (TWO) tky f kyv.,de gu lu,lu gu de,3,de,lu,8,6,tair zlut ji el ysi tky f kyv.,,,,,,,,,,,,0-1,#6495ED,tair zlut (is) el (TWO) tky f kyv.,,,,,,,,,,,
dela,,sj.,,1,blue,NOUN,0,0,0,0,sj. lela xyt f deda.,10,sj. (time) xyt f deda.,de la,la de,2,de,la,4,4,lela xyt f deda.,,,,,,,,,,,,0-1,#6495ED,(time) xyt f deda.,,,,,,,,,,,
deo,,sj.,,1,blue,NOUN,0,0,0,0,sj. vh uku ktap f axuax ykai dkdg am vk ktap ahk jar kyta f axuaxf ktap.,50,sj. (at) uku ktap f axuax ykai dkdg am (to/do) ktap ahk jar kyta f axuaxf ktap.,de o,o de,2,de,o,16,3,vh uku ktap f axuax ykai dkdg am vk ktap ahk jar kyta f axuaxf ktap.,,,,,,,,,,,,0-1,#6495ED,(at) uku ktap f axuax ykai dkdg am (to/do) ktap ahk jar kyta f axuaxf ktap.,,,,,,,,,,,
deqa,,e.,,1,green,adjective/determiner,0,0,4,0,e. deqar ji.,6,e. deqar (is).,de qa,qa de,2,de,qa,2,4,,,deqar ji.,,,,,,,,,,>1,#228B22,,,deqar (is).,,,,,,,,,
deqar,,sj.,,1,blue,NOUN,0,0,2,0,sj. vh subteta ypu vda el tta lela dvt aa subb vda f yra.,23,sj. (at) (before) (which) vda el tta (time) dvt aa subb vda f (that).,de qa r,r qa de,3,de,r,13,5,vh subteta ypu vda el tta lela dvt aa subb vda f yra.,,,,,,,,,,,,>1,#6495ED,(at) (before) (which) vda el tta (time) dvt aa subb vda f (that).,,,,,,,,,,,
deqh,,k.,,1,purple,verb/adverb/article,0,0,3,0,k. vs yre gege yre hucher deqhm aa bteb.,11,k. (with) (this) gege (this) (something/anything) (WORD) aa bteb.,de q h,h q de,3,de,h,8,4,,vs yre gege yre hucher deqhm aa bteb.,,,,,,,,,,,>1,#9370DB,,(with) (this) gege (this) (something/anything) (WORD) aa bteb.,,,,,,,,,,
deqhm,WORD,k.,,2,orange,pronoun/number/base,1,0,57,2,k. 1 hucher beax. 2 vh subteta heba f gega kyv. 3 yre hgasi kyv. sj. beax f lela in deda.,,k. 1 (something/anything) beax. 2 (at) (before) (end) f gega kyv. 3 (this) hgasi kyv. sj. beax f (time) (or) deda.,de q hm,hm q de,3,de,hm,17,5,beax f lela in deda.,1 hucher beax. 2 vh subteta heba f gega kyv. 3 yre hgasi kyv.,,,,,,,,,,,>20,#FFA500,beax f (time) (or) deda.,1 (something/anything) beax. 2 (at) (before) (end) f gega kyv. 3 (this) hgasi kyv.,,,,,,,,,,
dest,,bu.,,1,tan,conjunction,0,0,15,0,bu. sxresh kyv f vh subteta vzt deqhm.,15,bu. sxresh kyv f (at) (before) vzt (WORD).,de s t,t s de,3,de,t,7,4,,,,,,,sxresh kyv f vh subteta vzt deqhm.,,,,,,>1,#D2B48C,,,,,,,sxresh kyv f (at) (before) vzt (WORD).,,,,,
deuka,,sj.,,1,blue,NOUN,0,0,0,0,sj. kakauka ju lela f idcx ee idcx z lela dew ji.,15,sj. (unmixed) (add/mix) (time) f idcx (AND) idcx z (time) dew (is).,de u ka,ka u de,3,de,ka,11,5,kakauka ju lela f idcx ee idcx z lela dew ji.,,,,,,,,,,,,0-1,#6495ED,(unmixed) (add/mix) (time) f idcx (AND) idcx z (time) dew (is).,,,,,,,,,,,
dew,,a.,,1,green,adjective/determiner,0,0,11,0,a. vh deqa yele vzt.,12,a. (at) deqa yele vzt.,de w,w de,2,de,w,4,3,,,,,vh deqa yele vzt.,,,,,,,,>1,#228B22,,,,,(at) deqa yele vzt.,,,,,,,
dexin,,e.,,1,green,adjective/determiner,0,0,0,0,e. ja hhk je aik cjab dadali.,17,e. (me) hhk (you) aik cjab dadali.,de x in,in x de,3,de,in,6,5,,,ja hhk je aik cjab dadali.,,,,,,,,,,0-1,#228B22,,,(me) hhk (you) aik cjab dadali.,,,,,,,,,
deygin,,sj.,,1,blue,NOUN,0,0,0,0,sj. laf ahk akydep kat cji xgin.,18,sj. (delay) ahk akydep kat (today) xgin.,de y g in,in g y de,4,de,in,6,6,laf ahk akydep kat cji xgin.,,,,,,,,,,,,0-1,#6495ED,(delay) ahk akydep kat (today) xgin.,,,,,,,,,,,
dgasir,,sj.,,1,blue,NOUN,0,0,1,0,sj. vzta f yra hgasi z pdepr.,13,sj. vzta f (that) hgasi z (myself).,d ga si r,r si ga d,4,d,r,6,6,vzta f yra hgasi z pdepr.,,,,,,,,,,,,0-1,#6495ED,vzta f (that) hgasi z (myself).,,,,,,,,,,,
dher,,q.,,1,tan,conjunction,0,0,2,0,q. vh yra ubva beba am subb kap bteb f hutl.,20,q. (at) (that) ubva (begin) am subb (not) bteb f hutl.,d he r,r he d,3,d,r,10,4,,,,,,,,,vh yra ubva beba am subb kap bteb f hutl.,,,,>1,#D2B48C,,,,,,,,,(at) (that) ubva (begin) am subb (not) bteb f hutl.,,,
dkder,,sj.,,1,blue,NOUN,0,0,3,0,sj. dkdg f uku yra.,10,sj. dkdg f uku (that).,d k de r,r de k d,4,d,r,4,5,dkdg f uku yra.,,,,,,,,,,,,>1,#6495ED,dkdg f uku (that).,,,,,,,,,,,
dkdg,,k.,,1,purple,verb/adverb/article,0,0,132,0,k. wux z yra ju yra kadu.,9,k. wux z (that) (add/mix) (that) kadu.,d k d g,g d k d,4,d,g,6,4,,wux z yra ju yra kadu.,,,,,,,,,,,>20,#9370DB,,wux z (that) (add/mix) (that) kadu.,,,,,,,,,,
dkdger,,sj.,,1,blue,NOUN,0,0,3,0,sj. dkdg f lela in deda deqhm.,11,sj. dkdg f (time) (or) deda (WORD).,d k d ge r,r ge d k d,5,d,r,6,6,dkdg f lela in deda deqhm.,,,,,,,,,,,,>1,#6495ED,dkdg f (time) (or) deda (WORD).,,,,,,,,,,,
dku,,hh.,,1,green,adjective/determiner,0,0,16,0,hh. vh uku f deqar.,11,hh. (at) uku f deqar.,d ku,ku d,2,d,ku,4,3,,,,,,vh uku f deqar.,,,,,,,>1,#228B22,,,,,,(at) uku f deqar.,,,,,,
dr,,cj.,,1,orange,pronoun/number/base,0,1,11,0,cj. sjdr eeluz kyin. subtate eeluz kadu.,24,cj. sjdr eeluz kyin. (after) eeluz kadu.,d r,r d,2,d,r,6,2,,,,,,,,,,sjdr eeluz kyin. subtate eeluz kadu.,,,>1,#FFA500,,,,,,,,,,sjdr eeluz kyin. (after) eeluz kadu.,,
dsiu,,k.,,1,purple,verb/adverb/article,0,0,9,0,k. siuai ju yra ee yra ji.,6,k. siuai (add/mix) (that) (AND) (that) (is).,d si u,u si d,3,d,u,6,4,,siuai ju yra ee yra ji.,,,,,,,,,,,>1,#9370DB,,siuai (add/mix) (that) (AND) (that) (is).,,,,,,,,,,
dsu,,k.,,1,purple,verb/adverb/article,0,0,3,0,k. siuaa ju yra ee yra ji.,1,k. (mixed) (add/mix) (that) (AND) (that) (is).,d su,su d,2,d,su,6,3,,siuaa ju yra ee yra ji.,,,,,,,,,,,>1,#9370DB,,(mixed) (add/mix) (that) (AND) (that) (is).,,,,,,,,,,
dsxl,,sj.,,1,blue,NOUN,0,0,1,0,sj. vh yamte yras f kap subtet ee kap subtat f yra kadu f sjlup.,13,sj. (at) (THREE) yras f (not) (PAST) (AND) (not) (FUTURE) f (that) kadu f (place/direction/area).,d sx l,l sx d,3,d,l,14,4,vh yamte yras f kap subtet ee kap subtat f yra kadu f sjlup.,,,,,,,,,,,,0-1,#6495ED,(at) (THREE) yras f (not) (PAST) (AND) (not) (FUTURE) f (that) kadu f (place/direction/area).,,,,,,,,,,,
du,,hh.,,1,green,adjective/determiner,0,0,22,0,hh. vh yrs f ju yra aa ju yra aa yra.,10,hh. (at) yrs f (add/mix) (that) aa (add/mix) (that) aa (that).,du,du,1,du,,10,2,,,,,,vh yrs f ju yra aa ju yra aa yra.,,,,,,,>20,#228B22,,,,,,(at) yrs f (add/mix) (that) aa (add/mix) (that) aa (that).,,,,,,
duada,,k.,,1,purple,verb/adverb/article,0,0,0,0,k. guo luwux ging kadu.,17,k. guo luwux ging kadu.,du a da,da a du,3,du,da,4,5,,guo luwux ging kadu.,,,,,,,,,,,0-1,#9370DB,,guo luwux ging kadu.,,,,,,,,,,
duax,,sj.,,1,blue,NOUN,0,0,2,0,sj. dudi aiqr f liaax z utu lela.,20,sj. dudi aiqr f liaax z utu (time).,du ax,ax du,2,du,ax,7,4,dudi aiqr f liaax z utu lela.,,,,,,,,,,,,>1,#6495ED,dudi aiqr f liaax z utu (time).,,,,,,,,,,,
dudi,,sj.,,1,blue,NOUN,0,0,3,0,sj. yre axuaxf kazuqr. suja je ulilu f vh yra. yamte kakakaw yra je aiqr.,35,sj. (this) axuaxf kazuqr. suja (you) ulilu f (at) (that). (THREE) kakakaw (that) (you) aiqr.,du d i,i d du,3,du,i,14,4,yre axuaxf kazuqr. suja je ulilu f vh yra. yamte kakakaw yra je aiqr.,,,,,,,,,,,,>1,#6495ED,(this) axuaxf kazuqr. suja (you) ulilu f (at) (that). (THREE) kakakaw (that) (you) aiqr.,,,,,,,,,,,
duer,,sj.,,1,blue,NOUN,0,0,0,0,sj. duax ji f lela.,7,sj. duax (is) f (time).,du er,er du,2,du,er,4,4,duax ji f lela.,,,,,,,,,,,,0-1,#6495ED,duax (is) f (time).,,,,,,,,,,,
dukai,,e.,,1,green,adjective/determiner,0,0,0,0,e. aohucx libux akudep.,18,e. aohucx libux akudep.,du ka i,i ka du,3,du,i,3,5,,,aohucx libux akudep.,,,,,,,,,,0-1,#228B22,,,aohucx libux akudep.,,,,,,,,,
dule,,k.,,1,purple,verb/adverb/article,0,0,1,0,k. taar belu am hytu.,15,k. taar belu am hytu.,du le,le du,2,du,le,4,4,,taar belu am hytu.,,,,,,,,,,,0-1,#9370DB,,taar belu am hytu.,,,,,,,,,,
dupi,,k.,,1,purple,verb/adverb/article,0,0,4,0,k. hezl yra kap kysi aiin.,13,k. hezl (that) (not) kysi aiin.,du p i,i p du,3,du,i,5,4,,hezl yra kap kysi aiin.,,,,,,,,,,,>1,#9370DB,,hezl (that) (not) kysi aiin.,,,,,,,,,,
dupo,,k.,,1,purple,verb/adverb/article,0,0,1,0,k. yra hezl kap kysi el dupi.,15,k. (that) hezl (not) kysi el dupi.,du p o,o p du,3,du,o,6,4,,yra hezl kap kysi el dupi.,,,,,,,,,,,0-1,#9370DB,,(that) hezl (not) kysi el dupi.,,,,,,,,,,
dust,,bu.,,1,tan,conjunction,0,0,30,0,bu. sxresh kyv f vh vzt deqhm.,15,bu. sxresh kyv f (at) vzt (WORD).,du s t,t s du,3,du,t,6,4,,,,,,,sxresh kyv f vh vzt deqhm.,,,,,,>20,#D2B48C,,,,,,,sxresh kyv f (at) vzt (WORD).,,,,,
duta,,k.,,1,purple,verb/adverb/article,0,0,7,0,k. vk iley hkdg kysi.,13,k. (to/do) iley hkdg kysi.,du ta,ta du,2,du,ta,4,4,,vk iley hkdg kysi.,,,,,,,,,,,>1,#9370DB,,(to/do) iley hkdg kysi.,,,,,,,,,,
dutipp,,e.,,1,green,adjective/determiner,0,0,2,0,e. vh uxauxf vzt kap ulilu.,15,e. (at) uxauxf vzt (not) ulilu.,du t i pp,pp i t du,4,du,pp,5,6,,,vh uxauxf vzt kap ulilu.,,,,,,,,,,>1,#228B22,,,(at) uxauxf vzt (not) ulilu.,,,,,,,,,
dutu,,k.,,1,purple,verb/adverb/article,0,0,1,0,k. vk ppicj hkdg kysi.,14,k. (to/do) ppicj hkdg kysi.,du tu,tu du,2,du,tu,4,4,,vk ppicj hkdg kysi.,,,,,,,,,,,0-1,#9370DB,,(to/do) ppicj hkdg kysi.,,,,,,,,,,
duty,,sj.,,1,blue,NOUN,0,0,0,0,sj. thg gudde f yra ahg je gudde.,19,sj. thg gudde f (that) ahg (you) gudde.,du t y,y t du,3,du,y,7,4,thg gudde f yra ahg je gudde.,,,,,,,,,,,,0-1,#6495ED,thg gudde f (that) ahg (you) gudde.,,,,,,,,,,,
dvt,,k.,,1,purple,verb/adverb/article,0,0,9,0,k. qvq qwq kyin.,11,k. qvq qwq kyin.,d v t,t v d,3,d,t,3,3,,qvq qwq kyin.,,,,,,,,,,,>1,#9370DB,,qvq qwq kyin.,,,,,,,,,,
dyt,,k.,,1,purple,verb/adverb/article,0,0,20,0,k. qahh juya kyin.,13,k. qahh juya kyin.,d y t,t y d,3,d,t,3,3,,qahh juya kyin.,,,,,,,,,,,>1,#9370DB,,qahh juya kyin.,,,,,,,,,,
eami,,e.,,1,green,adjective/determiner,0,0,0,0,e. exiex amsht je ji el je in laf ishl.,17,e. exiex amsht (you) (is) el (you) (or) (delay) ishl.,e am i,i am e,3,e,i,9,4,,,exiex amsht je ji el je in laf ishl.,,,,,,,,,,0-1,#228B22,,,exiex amsht (you) (is) el (you) (or) (delay) ishl.,,,,,,,,,
eduh,,e.,,1,green,adjective/determiner,0,0,1,0,e. qlat vk kytu ji. suba bki.,16,e. qlat (to/do) kytu (is). suba bki.,e du h,h du e,3,e,h,6,4,,,qlat vk kytu ji. suba bki.,,,,,,,,,,0-1,#228B22,,,qlat (to/do) kytu (is). suba bki.,,,,,,,,,
ee,AND,bu.,,1,tan,conjunction,0,1,177,0,bu. ju yra yra shlp deqhm. cxla ysi gega shlp.,,bu. (add/mix) (that) (that) shlp (WORD). cxla (TWO) gega shlp.,ee,ee,1,ee,,9,2,,,,,,,ju yra yra shlp deqhm. cxla ysi gega shlp.,,,,,,>20,#D2B48C,,,,,,,(add/mix) (that) (that) shlp (WORD). cxla (TWO) gega shlp.,,,,,
eeaa,,sj.,,1,blue,NOUN,0,0,0,0,sj. eja ee aje je kap kaxs el je shley.,16,sj. eja (AND) (tomorrow) (you) (not) kaxs el (you) shley.,ee aa,aa ee,2,ee,aa,9,4,eja ee aje je kap kaxs el je shley.,,,,,,,,,,,,0-1,#6495ED,eja (AND) (tomorrow) (you) (not) kaxs el (you) shley.,,,,,,,,,,,
eeluz,,sj.,,1,blue,NOUN,0,0,13,0,sj. gega ee gega shlp f liliax z eguux.,27,sj. gega (AND) gega shlp f liliax z eguux.,ee lu z,z lu ee,3,ee,z,8,5,gega ee gega shlp f liliax z eguux.,,,,,,,,,,,,>1,#6495ED,gega (AND) gega shlp f liliax z eguux.,,,,,,,,,,,
egain,,e.,,1,green,adjective/determiner,0,0,0,0,e. uxaux subtatef lela lqa. vztel yra z ladut ji.,20,e. uxaux (afterwards) (time) lqa. vztel (that) z ladut (is).,e ga in,in ga e,3,e,in,9,5,,,uxaux subtatef lela lqa. vztel yra z ladut ji.,,,,,,,,,,0-1,#228B22,,,uxaux (afterwards) (time) lqa. vztel (that) z ladut (is).,,,,,,,,,
egaxi,,e.,,1,green,adjective/determiner,0,0,1,0,e. isiga in xsiga z hgasi dkdg.,21,e. isiga (or) xsiga z hgasi dkdg.,e ga x i,i x ga e,4,e,i,6,5,,,isiga in xsiga z hgasi dkdg.,,,,,,,,,,0-1,#228B22,,,isiga (or) xsiga z hgasi dkdg.,,,,,,,,,
egg,,e.,,1,green,adjective/determiner,0,0,1,0,e. hgasi z axgg dkdg.,15,e. hgasi z axgg dkdg.,e g g,g g e,3,e,g,4,3,,,hgasi z axgg dkdg.,,,,,,,,,,0-1,#228B22,,,hgasi z axgg dkdg.,,,,,,,,,
egta,,e.,,1,green,adjective/determiner,0,0,0,0,e. exiexf xlag o lagat igf o bezu atek.,29,e. exiexf xlag o lagat igf o bezu atek.,e g ta,ta g e,3,e,ta,8,4,,,exiexf xlag o lagat igf o bezu atek.,,,,,,,,,,0-1,#228B22,,,exiexf xlag o lagat igf o bezu atek.,,,,,,,,,
eguux,,sj.,,1,blue,NOUN,0,0,20,1,sj. 1 pdepr ee btebr f xihuhesh bteb f ewer in eishu. ahk qhh o gega shlp. 2 lela in deda bteb f gega. e kuuee.,53,sj. 1 (myself) (AND) (yourself) f (mixture) bteb f ewer (or) eishu. ahk qhh o gega shlp. 2 (time) (or) deda bteb f gega. e kuuee.,e gu ux,ux gu e,3,e,ux,23,5,1 pdepr ee btebr f xihuhesh bteb f ewer in eishu. ahk qhh o gega shlp. 2 lela in deda bteb f gega. e kuuee.,,,,,,,,,,,,>1,#6495ED,1 (myself) (AND) (yourself) f (mixture) bteb f ewer (or) eishu. ahk qhh o gega shlp. 2 (time) (or) deda bteb f gega. e kuuee.,,,,,,,,,,,
egw,,sj.,,1,blue,NOUN,0,0,0,0,sj. alp deda kyta asj f etela.,22,sj. alp deda kyta asj f etela.,e g w,w g e,3,e,w,6,3,alp deda kyta asj f etela.,,,,,,,,,,,,0-1,#6495ED,alp deda kyta asj f etela.,,,,,,,,,,,
ehg,,k.,,1,purple,verb/adverb/article,0,0,30,0,k. vh subtate kyv.,4,k. (at) (after) kyv.,e h g,g h e,3,e,g,3,3,,vh subtate kyv.,,,,,,,,,,,>20,#9370DB,,(at) (after) kyv.,,,,,,,,,,
ehjr,,e.,,1,green,adjective/determiner,0,0,1,0,e. heba.,1,e. (end).,e hj r,r hj e,3,e,r,1,4,,,heba.,,,,,,,,,,0-1,#228B22,,,(end).,,,,,,,,,
ehu,,k.,,1,purple,verb/adverb/article,0,0,22,0,k. ehut ji.,5,k. ehut (is).,e hu,hu e,2,e,hu,2,3,,ehut ji.,,,,,,,,,,,>20,#9370DB,,ehut (is).,,,,,,,,,,
ehut,,e.,,1,green,adjective/determiner,0,0,15,0,e. kap lav ee kap gude. uxauxf in axuaxf ahk.,23,e. (not) lav (AND) (not) gude. uxauxf (or) axuaxf ahk.,e hu t,t hu e,3,e,t,9,4,,,kap lav ee kap gude. uxauxf in axuaxf ahk.,,,,,,,,,,>1,#228B22,,,(not) lav (AND) (not) gude. uxauxf (or) axuaxf ahk.,,,,,,,,,
eiar,,hh.,,1,green,adjective/determiner,0,0,1,0,hh. 1 kap taar ee kap kauin. 2 vk yra sxvz lela cxla hkudep.,27,hh. 1 (not) taar (AND) (not) kauin. 2 (to/do) (that) sxvz (time) cxla hkudep.,ei a r,r a ei,3,ei,r,12,4,,,,,,1 kap taar ee kap kauin. 2 vk yra sxvz lela cxla hkudep.,,,,,,,0-1,#228B22,,,,,,1 (not) taar (AND) (not) kauin. 2 (to/do) (that) sxvz (time) cxla hkudep.,,,,,,
eiber,,e.,,1,green,adjective/determiner,0,0,0,0,e. zaxei zhlig ji kat l asj z zulig libux ejlip.,34,e. zaxei zhlig (is) kat l asj z zulig libux ejlip.,ei be r,r be ei,3,ei,r,10,5,,,zaxei zhlig ji kat l asj z zulig libux ejlip.,,,,,,,,,,0-1,#228B22,,,zaxei zhlig (is) kat l asj z zulig libux ejlip.,,,,,,,,,
eida,,hh.,,1,green,adjective/determiner,0,0,1,0,hh. vx cxsi lela cxla yra kytu.,16,hh. vx cxsi (time) cxla (that) kytu.,ei da,da ei,2,ei,da,6,4,,,,,,vx cxsi lela cxla yra kytu.,,,,,,,0-1,#228B22,,,,,,vx cxsi (time) cxla (that) kytu.,,,,,,
eider,,e.,,1,green,adjective/determiner,0,0,0,0,e. zaxei zhlig ji kat aka z zulig dupo.,27,e. zaxei zhlig (is) kat aka z zulig dupo.,ei de r,r de ei,3,ei,r,8,5,,,zaxei zhlig ji kat aka z zulig dupo.,,,,,,,,,,0-1,#228B22,,,zaxei zhlig (is) kat aka z zulig dupo.,,,,,,,,,
eihcx,,e.,,1,green,adjective/determiner,0,0,0,0,e. taer je ji el laf bteb el je chley. je laf ahg el je chley.,28,e. taer (you) (is) el (delay) bteb el (you) chley. (you) (delay) ahg el (you) chley.,ei h cx,cx h ei,3,ei,cx,15,5,,,taer je ji el laf bteb el je chley. je laf ahg el je chley.,,,,,,,,,,0-1,#228B22,,,taer (you) (is) el (delay) bteb el (you) chley. (you) (delay) ahg el (you) chley.,,,,,,,,,
eihk,,e.,,1,green,adjective/determiner,0,0,0,0,e. ehut l gudde ji.,11,e. ehut l gudde (is).,ei h k,k h ei,3,ei,k,4,4,,,ehut l gudde ji.,,,,,,,,,,0-1,#228B22,,,ehut l gudde (is).,,,,,,,,,
eilcx,,sj.,,1,blue,NOUN,0,0,0,0,sj. eiar el cxlu ejlip ji. kat uxauxf ehut l xkaka cxlu ji. uxaux xax hhg.,51,sj. eiar el cxlu ejlip (is). kat uxauxf ehut l xkaka cxlu (is). uxaux xax hhg.,ei l cx,cx l ei,3,ei,cx,15,5,eiar el cxlu ejlip ji. kat uxauxf ehut l xkaka cxlu ji. uxaux xax hhg.,,,,,,,,,,,,0-1,#6495ED,eiar el cxlu ejlip (is). kat uxauxf ehut l xkaka cxlu (is). uxaux xax hhg.,,,,,,,,,,,
eir,,sj.,,1,blue,NOUN,0,0,3,0,sj. liliax z je.,9,sj. liliax z (you).,ei r,r ei,2,ei,r,3,3,liliax z je.,,,,,,,,,,,,>1,#6495ED,liliax z (you).,,,,,,,,,,,
eisft,,k.,,1,purple,verb/adverb/article,0,0,0,0,k. kap bteb am vda. vst bteb pdep.,21,k. (not) bteb am vda. vst bteb pdep.,ei s f t,t f s ei,4,ei,t,7,5,,kap bteb am vda. vst bteb pdep.,,,,,,,,,,,0-1,#9370DB,,(not) bteb am vda. vst bteb pdep.,,,,,,,,,,
eishu,,sj.,,1,blue,NOUN,0,0,2,0,sj. uxaux pdepr kelio f axuax btebr.,18,sj. uxaux (myself) kelio f axuax (yourself).,ei sh u,u sh ei,3,ei,u,6,5,uxaux pdepr kelio f axuax btebr.,,,,,,,,,,,,>1,#6495ED,uxaux (myself) kelio f axuax (yourself).,,,,,,,,,,,
eitek,,a.,,1,green,adjective/determiner,0,0,1,0,a. vs ekin ee l atek.,10,a. (with) ekin (AND) l atek.,ei te k,k te ei,3,ei,k,5,5,,,,,vs ekin ee l atek.,,,,,,,,0-1,#228B22,,,,,(with) ekin (AND) l atek.,,,,,,,
eizt,,sj.,,1,blue,NOUN,0,0,1,0,sj. vzte ging.,10,sj. vzte ging.,ei z t,t z ei,3,ei,t,2,4,vzte ging.,,,,,,,,,,,,0-1,#6495ED,vzte ging.,,,,,,,,,,,
eja,,cj.,,1,orange,pronoun/number/base,0,1,5,0,cj. alp ja.,5,cj. alp (me).,ej a,a ej,2,ej,a,2,3,,,,,,,,,,alp ja.,,,>1,#FFA500,,,,,,,,,,alp (me).,,
